# X, Y, Xs, Ys, Zs, Xv, Yv, Zv
-3.787443603990307828e-02,-9.996364324136989277e-01,4.178242880406285997e-01,8.905429473504966609e-01,-1.818339714183268840e-01,-5.173953515873010112e+00,2.767239114006688983e+00,2.241226299155476109e+00
6.973683223247033325e-03,-9.995797862881823370e-01,3.804836314781640527e-01,9.093942951412219422e-01,-1.656580923330201738e-01,-5.286461902245243039e+00,2.513562086834977283e+00,2.290199600937916635e+00
5.180769255339234824e-02,-9.975103261084142803e-01,3.423768661669544522e-01,9.264144034461130328e-01,-1.491486583979219627e-01,-5.388566384239783069e+00,2.254246972008935757e+00,2.334666249223995127e+00
9.653716394655838251e-02,-9.934276927230881737e-01,3.035790997573846184e-01,9.415648327140860863e-01,-1.323382056647074423e-01,-5.480013320912557440e+00,1.989793437146359922e+00,2.374515892371777959e+00
1.410713551187788295e-01,-9.873356179742398542e-01,2.641672823767241551e-01,9.548107207907388094e-01,-1.152600717524882995e-01,-5.560568490454115498e+00,1.720716939893562891e+00,2.409646586529817114e+00
1.853194909488450892e-01,-9.792419612363717496e-01,2.242199865570684569e-01,9.661209346766596040e-01,-9.794830054391250040e-02,-5.630018234205484973e+00,1.447547350415131495e+00,2.439965292701442134e+00
2.291910460099146341e-01,-9.691587121176257202e-01,1.838171731805853526e-01,9.754681920591976585e-01,-8.043754079577999927e-02,-5.688170439218616536e+00,1.170827447375933472e+00,2.465388303901011380e+00
2.725958445521219353e-01,-9.571020137422702190e-01,1.430401172800371545e-01,9.828291245668255849e-01,-6.276301401553455173e-02,-5.734855176472946958e+00,8.911124790820992292e-01,2.485841522203656950e+00
3.154444336024391782e-01,-9.430921080301928328e-01,1.019710764303334294e-01,9.881843854018300677e-01,-4.496037076407613520e-02,-5.769925628057024802e+00,6.089679321436318737e-01,2.501260862440807919e+00
3.576477461739661634e-01,-9.271535042067799992e-01,6.069363611739186926e-02,9.915186601996160976e-01,-2.706584040884976727e-02,-5.793258391513513850e+00,3.249719220352784710e-01,2.511592382348925234e+00
3.991180985976479079e-01,-9.093146951747499429e-01,1.929177023625705534e-02,9.928208301827440296e-01,-9.115823898518449209e-03,-5.804754794937266205e+00,3.970872562643235071e-02,2.516792857663308514e+00
4.397686841998125207e-01,-8.896083802623837578e-01,-2.214965150987513454e-02,9.920839607507877522e-01,8.852886247836255773e-03,-5.804341058432823885e+00,-2.462277714461111877e-01,2.516829849514003126e+00
4.795142898068497361e-01,-8.680712116687898661e-01,-6.354555780947074295e-02,9.893053735422430162e-01,2.680340687701715519e-02,-5.791969052186385802e+00,-5.322389255136275032e-01,2.511682036781035077e+00
5.182709134339134049e-01,-8.447440468858092855e-01,-1.048102600677491281e-01,9.844867142021317408e-01,4.469858392229369981e-02,-5.767616920744653264e+00,-8.177185610656865222e-01,2.501339484669896862e+00
5.559567778570244645e-01,-8.196714314468831475e-01,-1.458584957057665332e-01,9.776339105233534665e-01,6.250144478821362259e-02,-5.731289194504654461e+00,-1.102060307055950705e+00,2.485803698602925049e+00
5.924916435363243306e-01,-7.929020569616366254e-01,-1.866046794269907161e-01,9.687572982178493941e-01,8.017487361993358430e-02,-5.683017704458936947e+00,-1.384652570480094713e+00,2.465088017030408807e+00
6.277977134532161108e-01,-7.644882295351527191e-01,-2.269638615741133569e-01,9.578715202334318057e-01,9.768202690331487248e-02,-5.622861317069052234e+00,-1.664885350754225612e+00,2.439217501633864416e+00
6.617993640811591360e-01,-7.344860993214937794e-01,-2.668514155552632605e-01,9.449956215299806228e-01,1.149861978676042784e-01,-5.550906680707520024e+00,-1.942148278507392911e+00,2.408229259483880114e+00
6.944236953132472134e-01,-7.029552640995291313e-01,-3.061836486443572647e-01,9.301529213727890433e-01,1.320510814126090171e-01,-5.467267734460577344e+00,-2.215835084584779402e+00,2.372172233448904599e+00
7.256002359360406162e-01,-6.699591042969318400e-01,-3.448774274319713617e-01,9.133711930066577001e-01,1.488406115758919845e-01,-5.372086911981358348e+00,-2.485341243637208208e+00,2.331107722378170877e+00
7.552617862337613897e-01,-6.355640014378884928e-01,-3.828511809984658787e-01,8.946823100593674916e-01,1.653193967556928490e-01,-5.265533314679213817e+00,-2.750071225352972881e+00,2.285108594521254144e+00
7.833439397012135208e-01,-5.998398773023827513e-01,-4.200242945668943850e-01,8.741225338809290868e-01,1.814524565937951361e-01,-5.147804482528724357e+00,-3.009434559588585412e+00,2.234260052336956459e+00
8.097856397198601730e-01,-5.628596465465450782e-01,-4.563177842554595465e-01,8.517322517894321265e-01,1.972055147324647539e-01,-5.019125026883638263e+00,-3.262850838472295401e+00,2.178659043494697745e+00
8.345292649448715627e-01,-5.246991240865018780e-01,-4.916544039207171313e-01,8.275559290725623685e-01,2.125450451757992520e-01,-4.879746440700397869e+00,-3.509750778178640562e+00,2.118414179394803032e+00
8.575207270308220497e-01,-4.854369399948306740e-01,-5.259587593647085946e-01,8.016420730023499086e-01,2.274383218348351721e-01,-4.729946952866615817e+00,-3.749577339529380104e+00,2.053645672856316828e+00
8.787096242548874114e-01,-4.451543751025256457e-01,-5.591574996984793877e-01,7.740431485026562086e-01,2.418535015626719631e-01,-4.570031075818543620e+00,-3.981787393797032504e+00,1.984485143233772231e+00
8.980494254437046964e-01,-4.039351014799387185e-01,-5.911795706811280304e-01,7.448154203299610643e-01,2.557597341165280258e-01,-4.400328695018298930e+00,-4.205853826601740231e+00,1.911075223225250141e+00
9.154975882310610880e-01,-3.618649911849626810e-01,-6.219563870327904365e-01,7.140188294829132865e-01,2.691272369626509509e-01,-4.221194322642787711e+00,-4.421267076255205986e+00,1.833569236451291440e+00
9.310156375635926240e-01,-3.190320076551732553e-01,-6.514219397317528859e-01,6.817169278016186329e-01,2.819273418476411219e-01,-4.033006659380641956e+00,-4.627536213675768728e+00,1.752131008276231361e+00
9.445693358644526860e-01,-2.755258291598230436e-01,-6.795130831266611438e-01,6.479766082214071243e-01,2.941326194885595102e-01,-3.836166935745581430e+00,-4.824191274506294924e+00,1.666934148400418536e+00
9.561286639416375355e-01,-2.314379979011834954e-01,-7.061694614300113582e-01,6.128682319364922026e-01,3.057168476057786632e-01,-3.631099537122412180e+00,-5.010783057172900179e+00,1.578162321714551730e+00
9.656680479427202091e-01,-1.868612611893349373e-01,-7.313339521727448833e-01,5.764651266110515371e-01,3.166552035755456629e-01,-3.418248931125629664e+00,-5.186886526994721969e+00,1.486007918641267356e+00
9.731663576324927067e-01,-1.418895277873462313e-01,-7.549526816414082742e-01,5.388435460655168763e-01,3.269242711537254098e-01,-3.198079256711792162e+00,-5.352101207267589977e+00,1.390671877278620627e+00
9.786069520216637008e-01,-9.661773959169384085e-02,-7.769751124354132843e-01,5.000825731434658250e-01,3.365020785123419844e-01,-2.971073559444480594e+00,-5.506052056304631570e+00,1.292363352490308648e+00
9.819777437845566004e-01,-5.114164907514086311e-02,-7.973541830768915428e-01,4.602639450397567056e-01,3.453681589037356225e-01,-2.737732549983729058e+00,-5.648390687347109029e+00,1.191299178535248693e+00
9.832712531933348599e-01,-5.557404533073381607e-03,-8.160465131712468789e-01,4.194716999193008888e-01,3.535036398813986569e-01,-2.498572292289552355e+00,-5.778797020998332812e+00,1.087702867970390175e+00
9.824846063719482325e-01,4.003868100907486544e-02,-8.330124912597162146e-01,3.777919666180473701e-01,3.608912815501894022e-01,-2.254122709386332968e+00,-5.896980088884447468e+00,9.818039643888890611e-01
9.796195535137908195e-01,8.554998565307643521e-02,-8.482162342747359141e-01,3.353131030352561881e-01,3.675154588822822088e-01,-2.004928119061117009e+00,-6.002677915633793937e+00,8.738382745986182920e-01
9.746824546277891299e-01,1.308803708070356009e-01,-8.616258818158279986e-01,2.921249717491120612e-01,3.733622898573404347e-01,-1.751542695469901378e+00,-6.095659701665253394e+00,7.640459025193162557e-01
9.676842651351685864e-01,1.759340363958219189e-01,-8.732135282106894270e-01,2.483190652464085935e-01,3.784196059108289600e-01,-1.494530902964896546e+00,-6.175725449847551118e+00,6.526714369986901243e-01
9.586405284834345064e-01,2.206157516881792902e-01,-8.829553055720676946e-01,2.039882934871189712e-01,3.826769881065343881e-01,-1.234465942228568203e+00,-6.242706613143477412e+00,5.399632785780287270e-01
9.475712819968901135e-01,2.648313579432268194e-01,-8.908314997018212944e-01,1.592264884040182626e-01,3.861258177651586965e-01,-9.719265311161444654e-01,-6.296466929457692707e+00,4.261722443631440482e-01
9.345010499222108358e-01,3.084877150045430283e-01,-8.968265236653829575e-01,1.141284494019226270e-01,3.887592649723163318e-01,-7.074968584729337540e-01,-6.336902240008043918e+00,3.115515478630586088e-01
9.194587344465229295e-01,3.514931026899847377e-01,-9.009289822229983313e-01,6.878953342890353762e-02,3.905723168248102506e-01,-4.417638685798264131e-01,-6.363940897511874084e+00,1.963556218900305295e-01
9.024775575770054292e-01,3.937573439152070587e-01,-9.031316710478571874e-01,2.330551882668363550e-02,3.915617771946595660e-01,-1.753161569780399276e-01,-6.377543692436577594e+00,8.083963975594632423e-02
8.835950162960228838e-01,4.351919313606220641e-01,-9.034315883603438735e-01,-2.222752843687719748e-02,3.917262718746998273e-01,9.125711274056191868e-02,-6.377703835347149131e+00,-3.474095439859192780e-02
8.628526270309774260e-01,4.757105725293179210e-01,-9.018299329347700954e-01,-6.771385674755781015e-02,3.910662481698846671e-01,3.573700214518513718e-01,-6.364446792103462869e+00,-1.501320987589401801e-01
8.402959554308676582e-01,5.152290393686409509e-01,-8.983320707632987956e-01,-1.130578799258910583e-01,3.895839603307531540e-01,6.224392948247361446e-01,-6.337829900957373752e+00,-2.650808541194914492e-01
8.159745194508083443e-01,5.536653707376931743e-01,-8.929475326545252001e-01,-1.581644016802143393e-01,3.872834686820756378e-01,8.858858764177499623e-01,-6.297942164428661727e+00,-3.793360861036642051e-01
7.899414600022581778e-01,5.909403729639474134e-01,-8.856899336163559511e-01,-2.029392083447696948e-01,3.841706051174685332e-01,1.147138629888404981e+00,-6.244903448470946472e+00,-4.926500709721505222e-01
7.622535893439766896e-01,6.269774701407311301e-01,-8.765769552704429923e-01,-2.472889127280999411e-01,3.802529653564865608e-01,1.405633643283707990e+00,-6.178864135340340624e+00,-6.047781942402061794e-01
7.329711422984169777e-01,6.617030270338097875e-01,-8.656302636226660407e-01,-2.911213517944287732e-01,3.755398735925273845e-01,1.660816745588154619e+00,-6.100004276619574561e+00,-7.154800424423098937e-01
7.021577402862330120e-01,6.950463626505704040e-01,-8.528754843795230967e-01,-3.343456141275279458e-01,3.700423718113070581e-01,1.912143839049952554e+00,-6.008533149113638672e+00,-8.245195475580854305e-01
6.698798408393116244e-01,7.269403040298126895e-01,-8.383419588914691190e-01,-3.768727741481328053e-01,3.637731145284968104e-01,2.159085313713308807e+00,-5.904687224377916266e+00,-9.316669025997137421e-01
6.362072100023228316e-01,7.573206420831414265e-01,-8.220629269555386198e-01,-4.186151995421013017e-01,3.567464475251028722e-01,2.401122140427101481e+00,-5.788731186080561031e+00,-1.036696866850556065e+00
6.012121620999066884e-01,7.861268648689734295e-01,-8.040751775876271434e-01,-4.594875366448845089e-01,3.489782571751535167e-01,2.637751686919342475e+00,-5.660955129694361432e+00,-1.139391289715141475e+00
5.649697110168582226e-01,8.133019454804798487e-01,-7.844190929344359020e-01,-4.994064543286459434e-01,3.404859892912083241e-01,2.868486291973182389e+00,-5.521674570108165092e+00,-1.239538492505297906e+00
5.275570897506840495e-01,8.387926774501387461e-01,-7.631383781029643654e-01,-5.382911506596033124e-01,3.312885323673626647e-01,3.092856231307555603e+00,-5.371228212558491144e+00,-1.336934556072136626e+00
4.890538553276924660e-01,8.625495371569137371e-01,-7.402800952901027465e-01,-5.760631839035541546e-01,3.214062322492551305e-01,3.310408745232321870e+00,-5.209977883865580139e+00,-1.431382899269257436e+00
4.495417147087263365e-01,8.845267957563378580e-01,-7.158945621715455676e-01,-6.126466474058739342e-01,3.108608482099186610e-01,3.520709032563487106e+00,-5.038307498656684480e+00,-1.522694710676347762e+00
4.091038360446133115e-01,9.046828622406305476e-01,-6.900349113627493036e-01,-6.479687709848742649e-01,2.996753623961638247e-01,3.723343659599858135e+00,-4.856619651959987571e+00,-1.610690429240230648e+00
3.678253022056167110e-01,9.229799749595951619e-01,-6.627573485959005195e-01,-6.819594500369039469e-01,2.878740914124849892e-01,3.917917776182370915e+00,-4.665337141479453997e+00,-1.695198536063184935e+00
3.257925927991978110e-01,9.393844515421210239e-01,-6.341208182813345973e-01,-7.145516904948526760e-01,2.754825416520517711e-01,4.104057574811855957e+00,-4.464900325827014349e+00,-1.776056622625223902e+00
2.830931127011574455e-01,9.538668084000023750e-01,-6.041866573736325297e-01,-7.456819159145978704e-01,2.625272594525158709e-01,4.281411915420834546e+00,-4.255764431135645509e+00,-1.853112097290093407e+00
2.398156052517650405e-01,9.664015565768862004e-01,-5.730188603041141970e-01,-7.752896081883536850e-01,2.490359456934329030e-01,4.449650126835662967e+00,-4.038401147023724214e+00,-1.926221230856514088e+00
1.960495189701533247e-01,9.769673962734114481e-01,-5.406836271888000311e-01,-8.033177508661529798e-01,2.350372602439572689e-01,4.608464369623946233e+00,-3.813295224963373364e+00,-1.995250183614621031e+00
1.518848024979360667e-01,9.855472011054926540e-01,-5.072491871146733722e-01,-8.297129013084567628e-01,2.205607453979824828e-01,4.757569852266064991e+00,-3.580943029517520415e+00,-2.060075100169853179e+00
1.074119835331098644e-01,9.921279571305376965e-01,-4.727858402584640962e-01,-8.544251021236357602e-01,2.056368440689650967e-01,4.896704125484293790e+00,-3.341852629888716120e+00,-2.120581803409218757e+00
6.272179457857188223e-02,9.967008046219695272e-01,-4.373656626103207823e-01,-8.774080767912240120e-01,1.902967719121866075e-01,5.025627970565460956e+00,-3.096541565981771438e+00,-2.176666181350333851e+00
1.790488717531554808e-02,9.992610176922848142e-01,-4.010622603084919580e-01,-8.986193316292022670e-01,1.745724108864602497e-01,5.144125735918373188e+00,-2.845534991556348370e+00,-2.228234334470985178e+00
-2.694816950429726465e-02,9.998079527140857348e-01,-3.639507485361304084e-01,-9.180201096132405425e-01,1.584963000692707624e-01,5.252004831906844196e+00,-2.589365397494431509e+00,-2.275202356888483823e+00
-7.174707160787623106e-02,9.983450283395436387e-01,-3.261075915633926958e-01,-9.355754493684936834e-01,1.421015663469427648e-01,5.349095810440410048e+00,-2.328571395469988925e+00,-2.317496371789014020e+00
-1.164020549753948669e-01,9.948796880614793059e-01,-2.876103599699908475e-01,-9.512542668619171637e-01,1.254218192131266729e-01,5.435252559323213717e+00,-2.063695958871609726e+00,-2.355052617024496975e+00
-1.608241643047991221e-01,9.894233298203385374e-01,-2.485374794653058272e-01,-9.650294050160409531e-01,1.084910418998839554e-01,5.510352305921272453e+00,-1.795284638260576493e+00,-2.387817448053081382e+00
-2.049251451089830756e-01,9.819912739028168192e-01,-2.089683083870011449e-01,-9.768775590599951819e-01,9.134362492301072167e-02,5.574294939116532177e+00,-1.523886061869496711e+00,-2.415747043573541308e+00
